family,group,n,regime,best_rival,gap,half_width,best_rival_incl_hidden,gap_incl_hidden
bernoulli,specialist,100000,beta05_random,warm_start_bandit,-0.013268000000000058,0.0019742985095976876,sequential_halving_peer,-0.04787599999999992
bernoulli,specialist,1000000,beta05_random,warm_start_bandit,-0.012940000000000174,0.0030870309524789713,sequential_halving_peer,-0.050040000000000084
RouterEval,all_strong,10,cartel,knn_router_online,-0.012599999999999945,0.010897706180660164,knn_router_online,-0.012599999999999945
live,specialist,100,cartel,flat_probe_argmax_online,-0.012499999999999956,0.025772000461983975,sequential_halving,-0.042300000000000004
bernoulli,specialist,10000,beta05_random,warm_start_bandit,-0.010525999999999924,0.0013726291634350418,sequential_halving_peer,-0.03935500000000003
RouterBench replay,all shapes pooled,10000,beta025_cartel,warm_start_bandit,-0.010513333333333486,0.0011553604113679727,sequential_halving_peer,-0.0381813333333334
live,bimodal,100,cartel,mlp_router,-0.010000000000000009,0.014110722873049406,sequential_halving,-0.02200000000000002
live,heavy_tail,100,beta025_cartel,flat_probe_argmax_online,-0.009000000000000008,0.025268260723682604,sequential_halving,-0.05030000000000001
RouterBench replay,all shapes pooled,100000,beta025_cartel,warm_start_bandit,-0.008533333333333393,0.0024468052736801573,sequential_halving_peer,-0.03465000000000007
live,heavy_tail,1000,beta05_random,warm_start_bandit,-0.008500000000000063,0.008882707920448549,sequential_halving,-0.04589999999999994
live,heavy_tail,100,beta0,warm_start_bandit,-0.008199999999999985,0.0282029255186852,sequential_halving,-0.04500000000000004
bernoulli,specialist,1000,beta05_random,warm_start_bandit,-0.00812400000000002,0.0014335440202955312,sequential_halving_peer,-0.012656999999999918
live,bimodal,100,beta05_random,mlp_router,-0.008100000000000107,0.013473121390383145,sequential_halving,-0.020100000000000118
bernoulli,specialist,100,beta025_random,flat_probe_argmax_online,-0.008073999999999915,0.002201975493058747,sequential_halving_peer,-0.03722900000000007
RouterBench replay,all shapes pooled,100,beta025_random,linucb_honest,-0.007811333333333281,0.0016334020432082865,sequential_halving_peer,-0.015642333333333425
live,heavy_tail,1000,cartel,warm_start_bandit,-0.006799999999999917,0.010995567288684945,sequential_halving,-0.04799999999999993
bernoulli,specialist,10000000,beta05_random,warm_start_bandit,-0.006739999999999746,0.00407350772139312,sequential_halving_peer,-0.04825999999999975
RouterBench replay,all shapes pooled,100,cartel,linucb_honest,-0.006482333333333257,0.0016551869559664116,linucb_honest,-0.006482333333333257
RouterBench replay,all shapes pooled,100,beta05_random,linucb_honest,-0.00630799999999998,0.001661122751297558,linucb_honest,-0.00630799999999998
bernoulli,specialist,100,beta025_cartel,flat_probe_argmax_online,-0.006036999999999959,0.0022202460295117237,sequential_halving_peer,-0.034102999999999994
live,specialist,100,beta05_random,flat_probe_argmax_online,-0.005699999999999927,0.02577519477375488,sequential_halving,-0.035499999999999976
bernoulli,specialist,10000,beta025_cartel,warm_start_bandit,-0.005354999999999888,0.0013363720535932548,sequential_halving_peer,-0.06335899999999994
live,heavy_tail,100,beta05_random,flat_probe_argmax_online,-0.005099999999999993,0.02447444078140498,sequential_halving,-0.0464
bernoulli,specialist,100000,beta025_cartel,warm_start_bandit,-0.0050520000000001675,0.0019126193312445203,sequential_halving_peer,-0.06368799999999997
live,specialist,10000,beta05_random,warm_start_bandit,-0.004444444444444473,0.05911382616989398,sequential_halving_peer,-0.0477777777777777
bernoulli,specialist,100,beta05_random,flat_probe_argmax_online,-0.002923000000000009,0.002230048867527919,flat_probe_argmax_online,-0.002923000000000009
live,heavy_tail,100,cartel,flat_probe_argmax_online,-0.0013999999999999568,0.02403000221077805,sequential_halving,-0.04269999999999996
bernoulli,specialist,1000000,beta025_cartel,warm_start_bandit,-0.0005649999999998156,0.002976045068543172,sequential_halving_peer,-0.06219999999999981
RouterEval,all_weak,1000,beta025_cartel,flat_probe_argmax_online,0.0,0.020865521800328878,sequential_halving,-0.05059999999999998
RouterEval,all_strong,100,beta025_random,warm_start_bandit,0.00019999999999997797,0.01570350279396276,warm_start_bandit,0.00019999999999997797
bernoulli,specialist,100,cartel,flat_probe_argmax_online,0.0007870000000000932,0.0021493681819461387,flat_probe_argmax_online,0.0007870000000000932
live,specialist,100,beta0,flat_probe_argmax_online,0.0010999999999999899,0.02568474744984856,sequential_halving,-0.02870000000000006
