family,group,n,regime,rival,rival_name,gap,ci_lo,ci_hi,units,result
bernoulli,shapes pooled,100000,beta05_random,sequential_halving_peer,seq. halving (peer),-0.047875999999999946,-0.04979804999999995,-0.04596569999999995,500,loss
bernoulli,shapes pooled,100000,cartel,flat_probe_argmax_online,flat probe argmax (online),0.02185600000000001,0.020103900000000015,0.02371235000000001,500,win
bernoulli,shapes pooled,100000,cartel,warm_start_bandit,warm-start bandit,0.01912600000000001,0.017401950000000006,0.020954000000000007,500,win
bernoulli,shapes pooled,100000,cartel,linucb_honest,LinUCB,0.3522800000000001,0.3502078,0.35437415,500,win
bernoulli,shapes pooled,100000,cartel,declared_argmax,declared argmax,0.06963000000000005,0.06720390000000004,0.07224205000000004,500,win
bernoulli,shapes pooled,100000,cartel,verify_on_claim,verify on claim,0.04104800000000003,0.038685700000000024,0.04338615000000002,500,win
bernoulli,shapes pooled,100000,cartel,midian,MIDIAN,0.07789800000000005,0.07498780000000005,0.08062380000000004,500,win
bernoulli,shapes pooled,100000,cartel,sequential_halving_peer,seq. halving (peer),0.09919000000000003,0.09671975000000003,0.10174885000000003,500,win
bernoulli,shapes pooled,1000000,beta0,flat_probe_argmax_online,flat probe argmax (online),0.030260000000000006,0.027759750000000007,0.03295512500000001,200,win
bernoulli,shapes pooled,1000000,beta0,warm_start_bandit,warm-start bandit,-0.03750999999999994,-0.03966512499999994,-0.03519487499999995,200,loss
bernoulli,shapes pooled,1000000,beta0,linucb_honest,LinUCB,0.47831500000000005,0.4750245,0.4813955000000001,200,win
bernoulli,shapes pooled,1000000,beta0,declared_argmax,declared argmax,-0.03805499999999994,-0.040260124999999945,-0.035684999999999946,200,loss
bernoulli,shapes pooled,1000000,beta0,verify_on_claim,verify on claim,-0.03866999999999994,-0.04080074999999994,-0.036459749999999944,200,loss
bernoulli,shapes pooled,1000000,beta0,midian,MIDIAN,0.030895000000000006,0.027989625000000004,0.03370512500000001,200,win
bernoulli,shapes pooled,1000000,beta0,sequential_halving_peer,seq. halving (peer),-0.045259999999999946,-0.047300499999999954,-0.04303987499999995,200,loss
bernoulli,shapes pooled,1000000,beta025_cartel,flat_probe_argmax_online,flat probe argmax (online),0.014200000000000008,0.011434500000000007,0.016895500000000008,200,win
bernoulli,shapes pooled,1000000,beta025_cartel,warm_start_bandit,warm-start bandit,-0.0005650000000000021,-0.0032101250000000046,0.0022552499999999994,200,tie
bernoulli,shapes pooled,1000000,beta025_cartel,linucb_honest,LinUCB,0.462255,0.4586695,0.46555150000000006,200,win
bernoulli,shapes pooled,1000000,beta025_cartel,declared_argmax,declared argmax,0.08293000000000005,0.07956787500000002,0.08646012500000004,200,win
bernoulli,shapes pooled,1000000,beta025_cartel,verify_on_claim,verify on claim,0.05899000000000004,0.055354875000000046,0.06292000000000005,200,win
bernoulli,shapes pooled,1000000,beta025_cartel,midian,MIDIAN,0.017935000000000013,0.015073500000000012,0.02071537500000002,200,win
bernoulli,shapes pooled,1000000,beta025_cartel,sequential_halving_peer,seq. halving (peer),-0.06219999999999995,-0.06462499999999995,-0.05978999999999994,200,loss
bernoulli,shapes pooled,1000000,beta025_random,flat_probe_argmax_online,flat probe argmax (online),0.015775000000000008,0.012969750000000004,0.018685125000000007,200,win
bernoulli,shapes pooled,1000000,beta025_random,warm_start_bandit,warm-start bandit,-0.01813499999999999,-0.020770124999999997,-0.015489999999999997,200,loss
bernoulli,shapes pooled,1000000,beta025_random,linucb_honest,LinUCB,0.46382999999999996,0.46039,0.46722025000000006,200,win
bernoulli,shapes pooled,1000000,beta025_random,declared_argmax,declared argmax,0.02754500000000002,0.023234625000000016,0.03230012500000002,200,win
bernoulli,shapes pooled,1000000,beta025_random,verify_on_claim,verify on claim,0.004105000000000005,0.00044912500000000063,0.007790250000000002,200,win
bernoulli,shapes pooled,1000000,beta025_random,midian,MIDIAN,0.01933000000000001,0.01636975000000001,0.02229050000000001,200,win
bernoulli,shapes pooled,1000000,beta025_random,sequential_halving_peer,seq. halving (peer),-0.05909499999999995,-0.061599999999999946,-0.05642474999999995,200,loss
bernoulli,shapes pooled,1000000,beta05_random,flat_probe_argmax_online,flat probe argmax (online),0.01905500000000001,0.016344625000000005,0.021695625000000003,200,win
bernoulli,shapes pooled,1000000,beta05_random,warm_start_bandit,warm-start bandit,-0.012939999999999997,-0.015360124999999999,-0.010220000000000002,200,loss
bernoulli,shapes pooled,1000000,beta05_random,linucb_honest,LinUCB,0.46710999999999997,0.463864875,0.47019,200,win
