family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds,rerun_outstanding
live,beta0,heavy_tail,100,llama,va_cohort,0.5633,0.5480079904670592,0.5785920095329409,10,False
live,beta0,heavy_tail,100,maf,va_cohort,0.6275000000000001,0.6131788811734403,0.6418211188265598,10,False
live,beta0,heavy_tail,100,magentic,va_cohort,0.6672,0.6535066926322869,0.6808933073677131,10,False
live,beta0,heavy_tail,100,openai,va_cohort,0.6409,0.6254335847721587,0.6563664152278413,10,False
live,beta0,heavy_tail,100,smol,va_cohort,0.662,0.6485100860722621,0.6754899139277379,10,False
live,beta01_random,heavy_tail,100,oracle,-,0.7292,0.7226990598970439,0.7357009401029561,10,False
live,beta01_random,heavy_tail,100,"MIDIAN, no framework",-,0.6343,0.6253506983512678,0.6432493016487322,10,False
live,beta01_random,heavy_tail,100,random,-,0.2741,0.2709608210556828,0.2772391789443172,10,False
live,beta01_random,heavy_tail,100,adk,tfidf,0.5557777777777778,0.5473866816737423,0.5641688738818134,9,False
live,beta01_random,heavy_tail,100,autogen,tfidf,0.5551000000000001,0.5493275558806421,0.5608724441193582,10,False
live,beta01_random,heavy_tail,100,camel,tfidf,0.5593,0.5526532798397339,0.5659467201602661,10,False
live,beta01_random,heavy_tail,100,crewai,tfidf,0.5644,0.5599899105577224,0.5688100894422776,10,False
live,beta01_random,heavy_tail,100,langgraph,tfidf,0.5555,0.5449841389637684,0.5660158610362316,10,False
live,beta01_random,heavy_tail,100,llama,tfidf,0.5381,0.5309532058469083,0.5452467941530917,10,False
live,beta01_random,heavy_tail,100,maf,tfidf,0.5544,0.5493223802601788,0.5594776197398212,10,False
live,beta01_random,heavy_tail,100,magentic,tfidf,0.5708,0.564697541479043,0.5769024585209569,10,False
live,beta01_random,heavy_tail,100,openai,tfidf,0.5433,0.5393221446314209,0.5472778553685791,10,False
live,beta01_random,heavy_tail,100,smol,tfidf,0.5642,0.5586747046333351,0.5697252953666649,10,False
live,beta01_random,heavy_tail,100,adk,embed,0.6779999999999999,0.667,0.6889999999999998,2,False
live,beta01_random,heavy_tail,100,autogen,embed,0.663,0.6576708349622103,0.6683291650377897,10,False
live,beta01_random,heavy_tail,100,camel,embed,0.6681,0.6599821869392744,0.6762178130607257,10,False
live,beta01_random,heavy_tail,100,crewai,embed,0.62275,0.6037045499746877,0.6417954500253124,4,False
live,beta01_random,heavy_tail,100,langgraph,embed,0.6428,0.6384441610069548,0.6471558389930453,10,False
