family,regime,dist,n,arm,shortlist,mean,ci_lo,ci_hi,seeds
routereval,beta0,all_strong,100,langgraph,va_cohort,0.8150000000000001,0.7964,0.8384,5
routereval,beta0,all_strong,100,llama,va_cohort,0.8044,0.7862,0.8228,5
routereval,beta0,all_strong,100,maf,va_cohort,0.8066000000000001,0.7870000000000001,0.8276,5
routereval,beta0,all_strong,100,openai,va_cohort,0.8130000000000001,0.805,0.8238,5
routereval,beta0,all_strong,100,smol,va_cohort,0.8182,0.8039999999999999,0.8356,5
routereval,beta05_random,all_strong,100,oracle,-,0.9014,0.8901899999999999,0.9126,5
routereval,beta05_random,all_strong,100,MIDIAN-VA (whole population),-,0.8252,0.8151999999999999,0.8368,5
routereval,beta05_random,all_strong,100,adk,tfidf,0.8018000000000001,0.7968000000000001,0.8062000000000001,5
routereval,beta05_random,all_strong,100,autogen,tfidf,0.8048,0.7962,0.8130000000000001,5
routereval,beta05_random,all_strong,100,langgraph,tfidf,0.8016,0.7849999999999999,0.817,5
routereval,beta05_random,all_strong,100,maf,tfidf,0.8038000000000001,0.7886,0.8160000000000001,5
routereval,beta05_random,all_strong,100,openai,tfidf,0.805,0.7976000000000001,0.8123999999999999,5
routereval,beta05_random,all_strong,100,smol,tfidf,0.8024000000000001,0.7928,0.8119999999999999,5
routereval,beta05_random,all_strong,100,adk,embed,0.8135999999999999,0.8004000000000001,0.8263999999999999,5
routereval,beta05_random,all_strong,100,autogen,embed,0.8093999999999999,0.7964,0.8241999999999999,5
routereval,beta05_random,all_strong,100,crewai,embed,0.8135999999999999,0.7948000000000001,0.8309999999999998,5
routereval,beta05_random,all_strong,100,langgraph,embed,0.8138,0.7958000000000001,0.8295999999999999,5
routereval,beta05_random,all_strong,100,llama,embed,0.8145999999999999,0.8026,0.8265999999999998,5
routereval,beta05_random,all_strong,100,maf,embed,0.8082,0.7968000000000002,0.8208,5
routereval,beta05_random,all_strong,100,openai,embed,0.8178000000000001,0.8074,0.8300000000000001,5
routereval,beta05_random,all_strong,100,smol,embed,0.8164000000000001,0.803555,0.8286,5
routereval,beta05_random,all_strong,100,adk,va_cohort,0.8192,0.8048,0.8315999999999999,5
routereval,beta05_random,all_strong,100,autogen,va_cohort,0.8038000000000001,0.7882,0.8173999999999999,5
routereval,beta05_random,all_strong,100,crewai,va_cohort,0.8192,0.8048,0.8315999999999999,5
routereval,beta05_random,all_strong,100,langgraph,va_cohort,0.8016,0.7846,0.8138,5
routereval,beta05_random,all_strong,100,llama,va_cohort,0.8005,0.79175,0.8085,4
routereval,beta05_random,all_strong,100,maf,va_cohort,0.8018000000000001,0.7872000000000001,0.8162,5
routereval,beta05_random,all_strong,100,openai,va_cohort,0.808,0.7942,0.8208,5
